,ts_code,exchange,business_scope
778,603899.SH,SSE,许可项目：食品经营；包装装潢印刷品印刷；文件、资料等其他印刷品印刷；出版物经营。(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准)一般项目：文具用品制造及销售，数码产品、安防设备、仪器仪表、劳防用品、家具、装饰品、化妆品、饰品、办公用品、工艺礼品(象牙及其制品除外)、橡塑制品、电子产品、家用电器、玩具、模具、五金交电、通讯器材、计算机软件及辅助设备、日用百货、纺织品、服装鞋帽、家居用品、体育用品及器材、消毒剂(不含危险化学品)、厨具卫具及日用杂品、日用化学产品、第一类医疗器械、第二类医疗器械、机械设备、办公设备及耗材、照相器材、音响设备、装饰材料、消防器材、酒店用品、玻璃制品、电力电子元器件、润滑油、水暖管道及配件、陶瓷管道及配件、汽车用品、卫生用品、母婴用品批发、零售，从事货物及技术的进出口业务，电子商务，企业管理咨询。(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)
779,002105.SZ,SZSE,生产经营运动器材，康复辅助器材，计算机配件，铝挤型锻造成型(制品)。自行车车把、车把立管、坐垫管、避振前叉及管料成型加工。生产并出口玩具、童车。普通货运。
780,000061.SZ,SZSE,开发、建设、经营、管理农产品批发市场(农产品批发市场的营业执照需另行申办)；经营管理市场租售业务；国内商业、物资供销业(不含专营、专控、专卖商品)；经营农产品、水产品的批发、连锁经营和进出口业务(具体经营需另行办理营业执照)；为农产品批发市场提供配套的招待所、小卖部、食店、运输、装卸、仓储、包装(具体项目营业执照另行申报)；从事信息咨询(不含法律、行政法规、国务院决定禁止及规定需审批的项目)、物业管理、酒店管理；自有物业租赁；市场投资、投资兴办实业(具体项目另行申报)。(以上涉及国家法律、行政法规、国务院决定规定需报经审批的项目，需经审批后方可经营。)
781,000062.SZ,SZSE,投资兴办各类实业(具体项目需另行申报)；经营国内商业、物资供销业(不含专营、专卖、专控商品)；自有物业管理、开发与租赁；经济信息咨询、服务；自有物业管理；激光头及其应用产品；计算机软硬件及系统集成；通信产品；广告业务。
782,000063.SZ,SZSE,生产程控交换系统、多媒体通讯系统、通讯传输系统；研制、生产移动通信系统设备、卫星通讯、微波通讯设备、寻呼机，计算机软硬件、闭路电视、微波通信、信号自动控制、计算机信息处理、过程监控系统、防灾报警系统、新能源发电及应用系统等项目的技术设计、开发、咨询、服务；铁路、地下铁路、城市轨道交通、公路、厂矿、港口码头、机场的有线无线通信等项目的技术设计、开发、咨询、服务(不含限制项目)；通信电源及配电系统的研发、生产、销售、技术服务、工程安装、维护；数据中心基础设施及配套产品(含供配电、空调制冷设备、冷通道、智能化管理系统等)的研发、生产、销售、技术服务、工程安装、维护；电子设备、微电子器件的购销(不含专营、专控、专卖商品)；承包境外及相关工程和境内国际招标工程，上述境外工程所需的设备，材料进出口，对外派遣实施上述境外工程的劳务人员；电子系统设备的技术开发和购销(不含限制项目及专营、专控、专卖商品)；经营进出口业务(按贸发局核发的资格证执行)；电信工程专业承包(待取得资质证书后方可经营)；自有房屋租赁。公司可根据国内外市场的变化、业务发展和自身能力，经股东大会和有关政府部门批准后，依法变更经营范围和调整经营方式。
783,000065.SZ,SZSE,各类型工业、能源、交通、民用工程建设项目的施工总承包；自营和代理各类商品及技术的进出口业务，但国家限定经营或禁止进出口的商品及技术除外；经营进料加工和“三来一补”业务；经营对销贸易和转口贸易；承包境外工程及境内国际招标工程；上述境外工程所需的设备、材料出口；对外派遣实施上述境外工程所需的劳务人员；铝制品，铝型材，铝门窗；建筑幕墙和室内外装饰工程设计、制作、施工；机械安装及修理。
784,000523.SZ,SZSE,主营项目类别：化学原料和化学制品制造业。一般经营范围：专项化学用品制造(监控化学品、危险化学品除外)；其他合成材料制造(监控化学品、危险化学品除外)；其他非危险基础化学原料制造；有机化学原料制造(监控化学品、危险化学品除外)；肥皂及合成洗涤剂制造；化妆品制造；口腔清洁用品制造；香料、香精制造；纸和纸板容器制造；塑料包装箱及容器制造；化妆品及卫生用品批发；清洁用品批发；婴儿用品批发；石油制品批发(成品油、危险化学品除外)；化肥批发；非金属矿及制品批发(国家专营专控类除外)；香精及香料批发；包装材料的销售；商品批发贸易(许可审批类商品除外)；货物进出口(专营专控商品除外)；技术进出口；百货零售(食品零售除外)；日用杂品综合零售；化工产品零售(危险化学品除外)；场地租赁(不含仓储)；机械设备租赁；工程和技术研究和试验发展；化工产品检测服务；商品信息咨询服务；食品添加剂批发；汽车租赁；其他仓储业(不含原油、成品油仓储、燃气仓储、危险品仓储)。许可经营范围：农药批发(危险化学品除外)；化工产品批发(含危险化学品；不含成品油、易制毒化学品)；预包装食品批发；非药品类易制毒化学品销售。
785,000524.SZ,SZSE,一般经营项目：健身服务；企业管理服务(涉及许可经营项目的除外)；传真、电话服务；运动场馆服务(游泳馆除外)；物业管理；广告业；照片扩印及处理服务；企业管理咨询服务；商品批发贸易(许可审批类商品除外)；百货零售(食品零售除外)；向游客提供旅游、交通、住宿、餐饮等代理服务(不涉及旅行社业务)；酒店管理；商务文印服务；场地租赁(不含仓储)；棋牌服务；办公服务；房屋租赁；票务服务；翻译服务；汽车租赁；商品零售贸易(许可审批类商品除外)；电脑打字、录入、校对、打印服务；会议及展览服务；日用杂品综合零售；水果零售；干果、坚果零售；蔬菜零售；食用菌零售；冷冻肉零售；海味干货零售；零售冷却肉(仅限猪、牛、羊肉)；蛋类零售；水产品零售；蛇零售(国家保护动物除外)；化妆品及卫生用品零售；清扫、清洗日用品零售；小饰物、小礼品零售；礼品鲜花零售；花盆栽培植物零售；文具用品零售；游艺娱乐用品零售；卫生洁具零售；充值卡销售；旅客票务代理；邮政代办业务；自有房地产经营活动；办公设备租赁服务；灯光设备租赁；音频和视频设备租赁；花卉出租服务；餐饮管理；名片印制服务；电脑喷绘、晒图服务；洗衣服务；行李搬运服务；生活清洗、消毒服务；职业技能培训(不包括需要取得许可审批方可经营的职业技能培训项目)；语言培训；酒店从业人员培训；室内非射击类、非球类、非棋牌类的竞技娱乐活动(不含电子游艺、攀岩、蹦床)。许可经营项目：甜品制售；中餐服务；网吧活动；美容服务；西餐服务；酒吧服务；酒店住宿服务(旅业)；除出版物、包装装潢印刷品之外的其他印刷品印刷；自助餐服务；专业停车场服务；复印服务；快餐服务；日式餐、料理服务；歌舞厅娱乐活动；餐饮配送服务；理发服务；冷热饮品制售；酒类零售；烟草制品零售；游泳馆。
786,000525.SZ,SZSE,农药生产(按《农药生产许可证》和《安全生产许可证》所列项目经营)、农药产品包装物的生产、销售(按《危险化学品包装物、容器生产企业定点证书》核定的定点生产范围经营)；三药中间体及精细化工产品的生产、销售、技术咨询和服务；化肥经营；投资管理及咨询；自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外)。消毒剂销售(不含危险化学品)(依法须经批准的项目，经相关部门批准后方可开展经营活动)。
787,000526.SZ,SZSE,一般项目：技术推广服务；软件开发；教育教学检测和评价活动；教育咨询服务(不含涉许可审批的教育培训活动)；以自有资金从事投资活动；企业管理；劳务服务(不含劳务派遣)；信息系统集成服务；信息技术咨询服务；自有资金投资的资产管理服务；企业总部管理；休闲娱乐用品设备出租；体育用品设备出租；图书出租；音像制品出租；物业管理；非居住房地产租赁。(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。
788,000586.SZ,SZSE,制造电线、电缆、光缆、电工器材、通信设备；信息传输、计算机服务和软件业；商品批发与零售；进出口业；租赁和商务服务业。(以上项目不含前置许可项目，后置许可项目凭许可证或审批文件经营)
789,000587.SZ,SZSE,贵金属首饰、珠宝玉器、工艺美术品加工、销售；金银回收；货物进出口；股权投资、矿山建设投资、黄金投资与咨询服务；黄金租赁服务；选矿。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
790,000588.SZ,SZSE,科学技术的推广及应用；从事环保材料、环保再生产品、环保设备的研发、设计、销售；环保技术咨询、投资咨询、企业管理咨询(以上均不含限制项目)；固体废物治理；危险废物收集、贮存、处置；从事环保项目投资(涉及在特别管理措施范围内的投资需经审批)；生物技术研究；从事医疗技术专业领域内的技术研发、技术咨询、技术转让、技术服务；健康产业投资、健康产业咨询；健康养老产业投资与管理服务；供应链管理及国内贸易(专营及专控商品凭许可证经营)；计算机信息技术服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。
791,000589.SZ,SZSE,"法律、法规、国务院决定规定禁止的不得经营；法律、法规、国务院决定规定应当许可(审批)的，经审批机关批准后凭许可(审批)文件经营；法律、法规、国务院决定规定无需许可(审批)的，市场主体自主选择经营。轮胎制造和销售；轮胎翻新和销售；橡胶制品制造和销售；水电、蒸汽、混炼胶及其他附属品的制造和销售；经营各类商品及技术进出口业务(国家禁止类除外),开展对外合作生产及“三来一补”业务；仓储；物流运输。"
792,000590.SZ,SZSE,销售医疗器械；生产、销售精细化工产品(不含危险品及监控化学品)并提供相关技术转让服务；经营法律法规允许的商品和技术的进出口业务；网络信息科技、系统集成；电子数码产品领域的技术开发、技术转让、技术咨询、技术服务；生物技术推广服务；市场营销策划。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。
793,300183.SZ,SZSE,计算机软件开发及配套技术服务。研发、设计、生产、销售：无线电通信设备(不含卫星地面接收设备)、电力产品、配电自动化设备、电子产品、仪器仪表、采集终端、商用密码产品、低压电器产品；集成电路设计及销售；建筑智能化工程设计及施工；电力工程及电力设施承装(修)；计算机配件维修。批发、零售、代购、代销：计算机、软件、办公设备；经营本企业进出口业务和本企业所需机械设备、零配件、原辅材料的进出口业务(国家限定公司经营或禁止进出口商品除外)；经营本企业进料加工和“三来一补”业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
794,300225.SZ,SZSE,制造、加工高性能涂料产品、溶剂、添加剂，销售自产产品，在国内外提供相关的技术咨询和售后服务，从事相关化工材料和涂料产品的进出口贸易(成品油等特殊化学品除外，涉及许可经营的凭许可证经营)。
795,002067.SZ,SZSE,绿色环保再生纸、特种纸及其它纸品及纸制品、造纸原料的制造和销售;废纸的收购；与纸相关产品的进出口业务。
796,688456.SH,SSE,生产有色金属材料、粉末、粉末冶金材料、丝材；销售有色金属材料、粉末、粉末冶金材料、丝材及技术开发；经营本企业自产产品及技术的出口业务和本企业所需的机械设备、零配件、原辅材料及技术的进口业务，但国家限定公司经营或禁止进出口的商品及技术除外。(市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。)
797,688367.SH,SSE,铁路轨道信号控制与调度指挥系统研发、设计；计算机联锁控制、智能调度计划、机车车辆定位与无人驾驶、物流跟踪软件、机车无线作业与机车安控系统研发、设计及其配套设备研发、生产、销售；矿山井下轨道交通多移动目标信号控制与调度指挥系统(含轨道机车运输监控、综合自动化、智慧矿山建设与总承包、无轨胶轮车监控、斜巷运输监控、人员定位与管理、井下轨道机车无人驾驶、车皮物料、工业汽运GPS防碰撞及调度指挥)研发及相关产品生产、跟踪管理、安装、调试、销售及配套服务；基于通信的列车自动控制系统(CBTC)产品研发生产及销售；铁路机车车辆、矿用机车车辆制造与配件销售、维护，铁路工程施工与铁路信号配件销售；通信设备与电子系统(含井下环网交换设备与应急救援通信系统等)、网络与计算机系统及其配套设备、工业自动化系统与软件、办公自动化软件、安全技术防范系统、集成电路与电子元器件及材料的生产、销售、工程设计、铁路工程及施工；相关技术服务、转让、人才培训(应经行政许可的凭许可证经营)；自营和代理各类商品及技术的进出口业务(国家法律法规禁止的商品和技术除外)。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。
798,000066.SZ,SZSE,计算机软件、硬件、终端及其外部设备、网络系统及系统集成、电子产品及零部件、金融机具、税控机具、计量仪表、安防产品、移动通讯设备、无线电话机(手机)、通信及网络产品、数字音视频产品的技术开发、销售及售后服务，并提供相关的技术和咨询服务(法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营)；投资兴办实业(具体项目另行申报)；自营进出口业务(具体按深贸营登证字第49号文执行)；房地产开发经营；房屋、设备等固定资产租赁(不含金融租赁)；物业管理及相关服务业务；国内商业、物资供销业(不含专营、专控、专卖商品)。(依法须经批准的项目，经相关部门批准后方可开展经营活动；法律、法规规定无需许可(审批)的，市场主体自主选择经营。)计算机软件、硬件、终端及其外部设备、网络系统及系统集成、电子产品及零部件、金融机具、税控机具、计量仪表、安防产品、移动通讯设备、无线电话机(手机)、通信及网络产品、数字音视频产品的生产、加工；经营自行开发的电子出版物、零售各类软件及电子出版物。
799,000068.SZ,SZSE,受托资产管理、投资咨询、企业管理咨询、经济信息咨询(不含限制项目)；市场营销策划；投资兴办实业(具体项目另行申报)；国内贸易(不含专营、专控、专卖商品)；货物及技术进出口业务。
800,000069.SZ,SZSE,旅游及其关联产业的投资和管理；房地产开发；自有物业租赁；酒店管理；文化活动的组织策划；会展策划；旅游项目策划；旅游信息咨询；旅游工业品的销售；投资兴办实业(具体项目另行申报)；国内商业(不含专营、专控、专卖商品)；经营进出口业务(法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营)。
801,000070.SZ,SZSE,光纤、光缆、光纤预制棒、电子元器件、通讯设备、光器件、配线产品、宽带多媒体设备、光网络单元、高低压配电产品、开关电源、智能监控产品、在线监控系统、光纤传感系统及设备、智能终端产品的生产、销售；消防电子产品、安防产品及系统的设计、生产及销售；电器设备、仪器仪表、机械设备、通信终端产品的设计、生产及销售；数据中心系列产品的研发、销售、安装和维护；智能弱电及数据中心工程的技术咨询、设计、施工及维护；综合布线产品、电力电缆、电力通信光缆、金具及附件、导线、铝包钢绞线、光纤复合电缆的生产(生产项目另办执照)；通信设备系统工程(含物联网智能管理系统)的设计、安装、维护、调试，咨询，计算机软硬技术及软件工程的开发、销售、服务；信息科技领域光电器件技术和产品的研制、生产、销售及技术服务；计算机网络系统集成、通讯信息服务(不含限制项目)；节能技术服务(不含限制项目)；输变电、配电、通信工程总承包；设备租赁；国内贸易(不含专营、专控、专卖商品)；在网上从事商贸活动(不含限制项目)；电子产品技术开发与销售；经营进出口业务(法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营)；自动化设备应用技术的开发；自有物业租赁经营。机动车辆停放服务。
802,000078.SZ,SZSE,1、生产经营生物化学原料、制品、试剂及其它相关制品(以上不含专营、专控和专卖商品)；2、开发生物化学产品和其他相关制品；3、自营进出口业务(按深贸管证字第70号文规定执行)；4、投资兴办实业(具体项目另行申报)。5、预包装食品(不含复热预包装食品)，乳制品(含婴幼儿配方乳粉)的批发。6、房屋租赁。7、信息咨询。8、医药专业领域内技术转让，技术咨询，技术服务。
803,000528.SZ,SZSE,工程机械及配件制造；工程机械及零配件批发、零售、维修、售后服务、进出口业务；机械设备租赁；工程机械及配件的回收及再制造(限分公司经营)；工矿设备及配件、汽车配件、五金交电、电工器材、五金工具、机电成套设备、工艺装备、原辅材料、仪器仪表、轻工业品、润滑油的批发、零售及进出口业务；本企业自产机电产品、成套设备及相关技术出口；经营本企业生产、科研所需原辅材料、机械设备、仪器仪表、备品备件、零配件及技术的进口业务(国家规定的一、二类进口商品除外)；开展本企业中外合资经营、合作生产及“三来一补”业务；工业车辆的设计、研发、销售、售后服务及租赁；场地租赁；工业机器人系统集成设计、制造、销售及售后服务；计算机软硬件、通讯设备、办公自动化设备、电子信息技术开发、销售、转让及技术咨询服务；计算机系统集成；网络系统工程设计与安装；建筑智能化系统(不含消防子系统)、安全防范设备、工业自动化控制系统、电气设备及动力工程设备的安装与维护；企业管理、物联网信息咨询服务；工程机械整机、零部件、材料及集成系统的技术研发、咨询、转让、服务及试验；技术管理咨询；工装夹具、工装模具、工装刀具、物流器具、工位器具、检具、非标设备的设计、制造与销售；专用技改设备制造、保养、精度检测与修复；蒸汽的供应与服务；能源设备设施维修和保养；节能技术的开发及服务；限分公司经营以下项目：水、电、压缩空气、天然气等能源的供应与服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。
804,000529.SZ,SZSE,食品冷藏设备的经营与管理；实业投资；资本运营管理；货物进出口、技术进出口(法律、行政法规禁止的除外；法律、行政法规限制的项目须取得许可后方可经营)；仓储(危险品除外)，场地出租，农副产品收购(不含国家专营专控商品)；食品冷藏及空调、冷藏设备的技术咨询，商品信息咨询；畜禽饲养技术服务；农业技术研究开发；文化、教育产品开发，销售农副产品、教学仪器、实验室设备、办公用品、电子产品、电子计算机及配件。
805,000530.SZ,SZSE,制冷制热设备及配套辅机、配件、节能环保产品的研发、设计、制造、销售、租赁、安装及维修；技术服务、技术咨询、技术推广；制冷空调成套工程、机电安装工程、钢结构工程、防腐保温工程的设计、施工、安装、维修及保养服务；房屋租赁；普通货物运输；物业管理；低温仓储；货物进出口、技术进出口。(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)
806,000531.SZ,SZSE,生产、销售电力以及热力及国家政策允许的其它投资业务；维修热力仪表、管网及其副产品、建筑材料、电力行业的技术咨询及技术服务和电力副产品的综合利用。
807,000527.SZ,SZSE,家用电器、电机、通讯设备及其零配件的生产、制造与销售，上述产品的技术咨询服务，自制模具、设备，酒店管理，广告代理。国内商业、物资供销业(不含法律法规规定的专控、专营项目)；加工、销售：金属材料、塑料产品；销售电子产品，百货；本企业及成员企业自产产品及相关技术的出口、生产、科研所需原辅材料、机械设备、仪器仪表、零配件及相关技术的进口；本企业的进料加工和“三来一补”(按[99]外经贸政审函字第528号文经营)
808,000622.SZ,SZSE,生产、销售制冷空调设备，销售汽车(含小轿车)，加工、销售机械设备，提供制冷空调设备安装、维修及本企业生产原料和产品的运输服务；房地产经营、物业管理、租赁；实业投资；投资管理(国家有专项审批的项目经审批后方可进行)
809,000623.SZ,SZSE,种植养殖、商业(国家专项控制、专营除外)；机械修理、仓储；本企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件(国家实行核定公司经营的12种进口商品除外)进口；医药工业、医药商业、医药科研与开发；汽车租赁服务；自有房地产经营活动。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
810,000625.SZ,SZSE,"制造、销售汽车(含轿车)，制造汽车发动机系列产品。汽车(含小轿车)开发，汽车发动机系列产品的开发、销售，配套零部件、模具、工具的、开发，制造，销售，机械安装工程科技技术咨询服务，自营和代理各类商品和技术的进出口(国家限定公司经营或禁止进出口的商品和技术除外)，开发、生产、销售计算机软件、硬件产品，计算机应用技术咨询、培训，计算机网络系统设计、安装、维护,代办中国电信股份有限公司重庆分公司委托的电信业务，汽车租赁，计算机软硬件技术开发、技术咨询、技术服务、技术推广。(具体表述以工商登记机关依法核定为准)"
811,000626.SZ,SZSE,实业投资；自营和代理各类商品和技术的进出口业务，国内贸易；自有房屋及场地租赁。
812,000627.SZ,SZSE,化工产品(不含危险化学品、需经审批的项目持有效许可证经营)的生产、销售；五金交电、建筑材料销售；经营本企业自产产品及技术的出口业务；经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务(国家限定公司经营和国家禁止进出口的商品及技术除外)；经营进料加工和“三来一补”业务。
813,000628.SZ,SZSE,高新技术产品开发、生产和经营，高新技术交流和转让，高新技术产业开发区的开发建设，进出口贸易，国内贸易，信息咨询，项目评估，证券投资，广告，展览，培训，物业管理(限分支机构凭资质许可证从事经营)，房屋租赁、其他无需审批或许可的合法项目等业务。
814,002572.SZ,SZSE,木质家具制造；竹、藤家具制造；金属家具制造；塑料家具制造；其他家具制造；销售本公司生产的产品(国家法律法规禁止经营的项目除外)；厨房设备及厨房用品批发；商品批发贸易(许可审批类商品除外)；货物进出口(专营专控商品除外)；技术进出口；百货零售；互联网商品销售(许可审批类商品除外；涉及许可经营的产品需取得许可证后方可经营)；家具批发；家具设计服务；家具安装；室内装饰、装修；家具和相关物品修理；家具零售；家居饰品批发；软件开发；软件批发；信息系统集成服务；计算机房维护服务；信息技术咨询服务；数据处理和存储服务。(以工商行政管理局核准为准)。
815,000089.SZ,SZSE,主营：航空客货地面运输及过港保障与服务；机场航空及其辅助设施投资业务；投资兴办实业；国内商业、物资供销业；国际、国内航空客货销售代理业务；仓储、包装、装卸搬运业务；深港旅客运输、深港航空货物驳运业务；海港客货运输过港保障与服务；物业出租、物业管理；机场范围内广告制作与发布；侯机楼、侯船楼内休闲、文化、餐饮、娱乐、商业、商务等综合服务。兼营：保税仓储业务；包机业务；航空邮件、航空特快专递业务；海关报关业务；航空咨询、旅游业务；机电安装、维修业务；实业开发；代理国内外广告设计、制作、发布业务；商务贸易、进出口业务。
816,000090.SZ,SZSE,提供与房地产开发与经营、建筑施工、城市服务等三大产业上下游相关的产品和服务。
817,000096.SZ,SZSE,兴办实业(具体项目另行申报)；国内商业、物资供销业(不含专营、专控、专卖商品)；投资电力企业(具体项目另报)；成品油(由分支机构经营)；经营液化石油气(限瓶装，经营场地另办执照)；进出口业务按《中华人民共和国进出口企业资格证书》办。
818,000088.SZ,SZSE,码头的开发与经营；货物装卸与运输；港口配套交通设施建设与经营；港口配套仓储及工业设施建设与经营；港口配套生活服务设施的建设与经营；集装箱修理；转口贸易；经营进出口业务。
819,000099.SZ,SZSE,甲类：通用航空包机飞行、石油服务、直升机引航、医疗救护；乙类：空中游览、直升机机外载荷飞行、人工降水、航空探矿、航空摄影、海洋监测、渔业飞行、城市消防、空中巡查、航空器代管；丙类：私用驾驶员执照培训、航空护林、空中拍照、空中广告、科学实验、气象探测；进出口业务；直升机机体、动力装置、机载设备、特种作业设备的维修、改装及技术服务；石油化工产品的仓储；非经营性危险货物运输(3)类【危险品名称：汽油(闪电<-18℃)；煤油】；机械设备的销售；无人机技术推广、驾驶员培训和应用数据服务及无人机系统设备研制与销售；机动车停放服务；机场建设、投资，民用机场经营。(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准。)
820,000150.SZ,SZSE,医院后勤管理服务，医疗行业计算机软硬件的技术开发，养老产业项目投资、策划、服务；绿色有机食品产业项目投资、开发；节能环保产业项目投资、开发，高新技术产业项目投资、开发；医疗器械经营。对外投资；项目投资；资本经营管理和咨询。(依法须经批准的项目，经相关部门批准后方可开展经营活动。)
821,000532.SZ,SZSE,投资及资产管理；互联网金融；创新产业园区建设及运营；企业管理及咨询；交易平台的投资及运营；微电子、电力电子、环境保护产品的开发、生产及销售；电力生产和电力开发；实业投资及管理；电子计算机及信息技术、生物工程；新技术、新材料及其产品的开发、生产和销售。
822,000533.SZ,SZSE,"实业投资(未经金融等监管部门批准，不得从事向公众融资存款、融资担保、代客理财等金融服务)；销售：机电产品,输配电产品；批发、零售：家用电器，煤炭(除储存)，燃料油(除成品油，闪点≥60°C)，化工产品(不含危险化学品)，矿产品(除专控产品)，有色金属，日用品，电子产品，建筑材料，金属材料，金属制品，饲料及添加剂，橡胶制品，乳胶制品，纺织原料，纺织品，化学纤维，服装，木材及其制品，纸张，纸浆，机械设备及配件，五金交电，工艺美术品(不含象牙制品)，塑料制品，汽车，医疗器械(凭有效许可证经营),初级食用农产品；食品、饮料(凭有效许可证经营)；企业管理咨询，经济信息咨询(除商品中介)，会展服务，供应链管理的技术开发；房产租赁；经营和代理各类商品及技术的进出口业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动。)"
823,000534.SZ,SZSE,高温合金及其制品的研发、制造、销售、维修及相关技术服务；投资医药行业；货物进出口、技术进出口；普通机械、电器机械及器材、金属材料、建筑材料、化工原料、汽车零部件的销售；电子计算机及配件的出租和销售；电子计算机技术服务；对采矿业的投资。(依法须经批准的项目，经相关部门批准后方可开展经营活动)(具体以工商登记为准)
824,000535.SZ,SZSE,轨道交通牵引系统、高效永磁驱动系统、大型风力发电机的研发制造与销售。
825,000536.SZ,SZSE,从事计算机、OLED平板显示屏、显示屏材料制造、通信设备、光电子器件、电子元件、其他电子设备、模具、电子和电工机械专用设备、医疗仪器设备及器械、输配电及控制设备的研发、设计、生产、销售和售后服务；对外贸易，但国家限定公司经营或禁止进出口的商品和技术除外。
826,000537.SZ,SZSE,房地产开发及商品房销售；对住宿酒店及餐饮酒店投资；房屋租赁；物业服务；房地产信息咨询服务；材料和机械电子设备、通信设备及器材、办公设备销售；仓储(危险品除外)；商品信息咨询；房地产中介服务；建筑装修装饰工程施工。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
827,000656.SZ,SZSE,房地产开发、物业管理、机电设备安装(以上经营范围凭资质证书执业)；销售建筑、装饰材料和化工产品(不含化学危险品)、五金交电；自有房屋租赁；企业管理咨询服务；货物及技术进出口。
828,000657.SZ,SZSE,硬质合金和钨、钼、钽、铌等有色金属及其深加工产品和装备的研制、开发、生产、销售及贸易业务；钢材、稀贵金属、化工产品及原料(专营除外)、矿产品、建材、五金工具、仪器仪表、电器器材、汽车配件、纺织品的贸易业务；旅游项目开发；进出口贸易按[1997]琼贸企审字第C166号文经营。
829,000658.SZ,SZSE,水产品零售；水产品批发；软件开发；房地产租赁经营；物业管理；信息系统集成服务；房地产开发经营；内陆捕捞；海水水产养殖(不含须经许可审批的项目)；内陆水产养殖(不含须经许可审批的项目)；文化、艺术活动策划。(以上经营范围以工商行政管理机关的最终审核为准)。
830,000659.SZ,SZSE,生产和销售自产的饮料容器、瓶胚、PET高级饮料瓶、纸杯、防冒瓶盖、纸箱、非织造布标签；上述产品同类商品相关模具及生产技术的研发；上述产品同类商品及塑料制品、化工原料(不含危险化学品)、预包装食品(非酒精饮料)、饮料包装设备及配套设备、灌装设备及配套设备、上述产品同类商品相关模具的批发、零售及进出口业务(不设店铺，不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理)；自有厂房、仓库及上述产品生产设备、饮料包装设备及配套设备、灌装设备及配套设备的出租；上述产品生产设备的上门维修服务；国内货物运输代理服务；企业管理信息咨询。公司在经营范围内从事活动。依据法律、法规和国务院决定须经许可经营的项目，应当向有关许可部门申请后，凭许可审批文件或者许可证件经营。公司的经营范围应当按规定在珠海市商事主体登记许可及信用公示平台予以公示。
831,000660.SZ,SZSE,供应链管理；企业自有资金投资；金属及金属矿批发(国家专营专控类除外)；黄金制品批发；金矿采选；其他贵金属矿采选；其他稀有金属矿采选；金冶炼；贵金属压延加工；防雷设备制造；石墨、滑石采选；货物及技术进出口；二手车销售；二手车出口服务；二手车交易及管理服务；专业网络平台的构建和运营。
832,600575.SH,SSE,煤炭销售(不得在禁燃区内设置销售煤炭等高污染燃料销售网点)；货物装卸、仓储(除危险化学品)；港口拖轮经营、港口货物中转服务；道路货运；铁路运输(限分支机构经营)；机械设备、场地、房屋租赁服务；房屋建筑及线路管道安装，铁路、公路、桥涵工程施工；金属材料(除贵金属)、钢材、电线、电缆、橡塑制品销售；铁路、线路器材设备维护；煤炭仓储及配煤服务；为船舶提供水电服务，铁路机车、铁路车辆维修。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
833,603356.SH,SSE,电梯配件研发、制造和销售；钢结构件、新材料开发、制造和销售；钢结构工程施工、劳务分包；电梯配件以及钢材、矿石等电梯配件生产所需原材料购销及储运服务；电梯的销售、安装及维护、项目投资管理；进出口贸易；机电类设备研发、制造、销售、安装、改造、维修。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
834,601956.SH,SSE,生产销售制冷压缩机、制冷设备及零部件、制冷设备维修、高新技术开发、咨询；房屋出租、汽车租赁；销售金属材料、建筑材料、花卉苗木；生产、销售压缩机电机；提供高新技术产品检验检测服务；仓储服务(不含危险品)；货物或技术进出口(涉及许可经营项目，应取得相关部门许可后方可经营)
